samples,fractions,set
JKLR,0.97,cases 1
FLAB,0.89,cases 1
JGLR,0.86,cases 1
JFGH,0.78,cases 1
GKHG,0.95,cases 1
JHPP,0.82,cases 1
WHPA,0.87,cases 1
HKLP,0.62,cases 1
FQTR,0.33,cases 1
JUTM,0.63,cases 1
TFLK,0.71,cases 1
JQRT,0.7,cases 1
WQHT,0.54,cases 1
QWID,0.37,cases 1
QWER,0.7,cases 1
POIU,0.72,cases 1
ASDF,0.74,cases 1
GFUR,0.72,cases 1
ZXCV,0.75,cases 1
HJKL,0.69,cases 1
REWQ,0.75,cases 1
SDFG,0.77,cases 1
XCVB,0.71,cases 1
JGIS,0.81,cases 1
WWZX,0.59,cases 1
KRUK,1.1,cases 1
101086,1.21,controls 1
102801,0.93,controls 1
100626,1.07,controls 1
101425,0.88,controls 1
145355,0.97,controls 1
100296,1.16,controls 1
101599,1.03,controls 1
106732,1.31,controls 1
106853,1.1,controls 1
109195,1.34,controls 1
109286,0.66,controls 1
109336,1.18,controls 1
110164,1.22,controls 1
113493,0.97,controls 1
114250,1.46,controls 1
121203,1.24,controls 1
121274,1.19,controls 1
123154,0.31,controls 1
123874,1.27,controls 1
124110,1.19,controls 1
127216,0.06,controls 1
128141,0.9,controls 1
129125,0.03,controls 1
129499,0.08,controls 1
130752,1.3,controls 1
131004,0.25,controls 1
139606,0.8,controls 1
103971,0.36,controls 1
101997,1.53,controls 1
102073,0.92,controls 1
106401,1.08,controls 1
106136,1.47,controls 1
109837,1.41,controls 1
121624,1.26,controls 1
102060,0.71,controls 1
103782,1.13,controls 1
114482,1.43,controls 1
109604,0.18,controls 1
101968,1.4,controls 1
102919,1.25,controls 1
100654,1.44,controls 1
ASCS-P001,0.81,cases 2
DJNG-P001,0.81,cases 2
VCTD-P001,0.75,cases 2
MUZP-P001,0.84,cases 2
ESCP-P001,1.18,cases 2
FOXX-P001,0.42,cases 2
FELD-P001,0.77,cases 2
DUFF-P001,0.48,cases 2
ASCS-P002,0.4,cases 2
DJNG-P002,0.4,cases 2
VCTD-P002,0.4,cases 2
MUZP-P002,0.4,cases 2
ESCP-P002,0.4,cases 2
FOXX-P002,0.4,cases 2
FELD-P002,0.4,cases 2
DUFF-P002,0.4,cases 2
ASCS-P003,0.4,cases 2
DJNG-P003,0.4,cases 2
VCTD-P003,0.4,cases 2
MUZP-P003,0.4,cases 2
ESCP-P003,0.4,cases 2
FOXX-P003,0.4,cases 2
FELD-P003,0.4,cases 2
DUFF-P003,0.4,cases 2
106133,0.64,controls 2
102598,0.42,controls 2
102760,0.64,controls 2
106126,0.53,controls 2
100250,0.48,controls 2
100442,0.6,controls 2
103197,0.5,controls 2
102795,0.51,controls 2
100292,0.64,controls 2
102126,0.64,controls 2
100662,0.72,controls 2
102199,0.6,controls 2