Sample,102801_L,102801_H,100296_L,100296_H,102598_L,102598_H,101599_L,101599_H,JFGH_L,JFGH_H,100626_L,100626_H,FLAB_L,FLAB_H,100292_L,100292_H,JGLR_L,JGLR_H,100250_L,100250_H,103197_L,103197_H,101086_L,101086_H,JKLR_L,JKLR_H,101425_L,101425_H,145355_L,145355_H,JKLR_L,JKLR_H,FLAB_L,FLAB_H,100296_L,100296_H,100626_L,100626_H,102598_L,102598_H,101599_L,101599_H,100292_L,100292_H,101425_L,101425_H,JKLR_L,JKLR_H,FLAB_L,FLAB_H,101086_L,101086_H,102801_L,102801_H,100626_L,100626_H,101425_L,101425_H,145355_L,145355_H,100296_L,100296_H,103197_L,103197_H,100250_L,100250_H,102598_L,102598_H,101599_L,101599_H,100292_L,100292_H,JGLR_L,JGLR_H,JFGH_L,JFGH_H,GKHG_L,GKHG_H,JHPP_L,JHPP_H,WHPA_L,WHPA_H,HKLP_L,HKLP_H,FQTR_L,FQTR_H,JUTM_L,JUTM_H,TFLK_L,TFLK_H,JQRT_L,JQRT_H,WQHT_L,WQHT_H,QWID_L,QWID_H,QWER_L,QWER_H,POIU_L,POIU_H,ASDF_L,ASDF_H,GFUR_L,GFUR_H,ZXCV_L,ZXCV_H,HJKL_L,HJKL_H,REWQ_L,REWQ_H,SDFG_L,SDFG_H,XCVB_L,XCVB_H,JGIS_L,JGIS_H,WWZX_L,WWZX_H,KRUK_L,KRUK_H,JHPP_L,JHPP_H,WHPA_L,WHPA_H,FQTR_L,FQTR_H,JUTM_L,JUTM_H,TFLK_L,TFLK_H,JQRT_L,JQRT_H,WQHT_L,WQHT_H,ASDF_L,ASDF_H,GKHG_L,GKHG_H,HKLP_L,HKLP_H,QWID_L,QWID_H,QWER_L,QWER_H,POIU_L,POIU_H,GFUR_L,GFUR_H,ZXCV_L,ZXCV_H,HJKL_L,HJKL_H,REWQ_L,REWQ_H,SDFG_L,SDFG_H,XCVB_L,XCVB_H,JGIS_L,JGIS_H,WWZX_L,WWZX_H,KRUK_L,KRUK_H,106732_L,106732_H,106853_L,106853_H,109195_L,109195_H,109286_L,109286_H,109336_L,109336_H,110164_L,110164_H,113493_L,113493_H,106732_L,106732_H,106853_L,106853_H,109195_L,109195_H,109286_L,109286_H,109336_L,109336_H,110164_L,110164_H,113493_L,113493_H,114250_L,114250_H,121203_L,121203_H,121274_L,121274_H,123154_L,123154_H,123874_L,123874_H,124110_L,124110_H,127216_L,127216_H,114250_L,114250_H,121203_L,121203_H,121274_L,121274_H,123154_L,123154_H,123874_L,123874_H,124110_L,124110_H,127216_L,127216_H,128141_L,128141_H,129125_L,129125_H,129499_L,129499_H,130752_L,130752_H,131004_L,131004_H,139606_L,139606_H,128141_L,128141_H,129125_L,129125_H,129499_L,129499_H,130752_L,130752_H,131004_L,131004_H,139606_L,139606_H,106921_L,106921_H,107105_L,107105_H,109675_L,109675_H,107917_L,107917_H,114321_L,114321_H,114823_L,114823_H,115068_L,115068_H,106921_L,106921_H,107105_L,107105_H,109675_L,109675_H,107917_L,107917_H,114321_L,114321_H,114823_L,114823_H,115068_L,115068_H,109286_L,109286_H,109286_L,109286_H,123154_L,123154_H,123154_L,123154_H,123154_L,123154_H,127216_L,127216_H,127216_L,127216_H,127216_L,127216_H,139606_L,139606_H,139606_L,139606_H,129125_L,129125_H,129125_L,129125_H,129125_L,129125_H,129499_L,129499_H,129499_L,129499_H,129499_L,129499_H,109604_L,109604_H,109604_L,109604_H,103971_L,103971_H,103971_L,103971_H,103971_L,103971_H,131004_L,131004_H,131004_L,131004_H,131004_L,131004_H,FQTR_L,FQTR_H,FQTR_L,FQTR_H,WQHT_L,WQHT_H,WQHT_L,WQHT_H,WQHT_L,WQHT_H,102073_L,102073_H,102073_L,102073_H,106401_L,106401_H,106401_L,106401_H,121624_L,121624_H,121624_L,121624_H,102060_L,102060_H,102060_L,102060_H,103782_L,103782_H,102919_L,102919_H,ASCS-P001_L,ASCS-P001_H,ASCS-P002_L,ASCS-P002_H,ASCS-P003_L,ASCS-P003_H,DJNG-P001_L,DJNG-P001_H,DJNG-P002_L,DJNG-P002_H,DJNG-P003_L,DJNG-P003_H,VCTD-P001_L,VCTD-P001_H,VCTD-P002_L,VCTD-P002_H,VCTD-P003_L,VCTD-P003_H,MUZP-P001_L,MUZP-P001_H,MUZP-P002_L,MUZP-P002_H,MUZP-P003_L,MUZP-P003_H,103971_L,103971_H,101997_L,101997_H,102073_L,102073_H,106401_L,106401_H,106136_L,106136_H,109837_L,109837_H,121624_L,121624_H,102060_L,102060_H,103782_L,103782_H,114482_L,114482_H,109604_L,109604_H,101968_L,101968_H,102919_L,102919_H,100654_L,100654_H,ESCP-P001_L,ESCP-P001_H,ESCP-P002_L,ESCP-P002_H,ESCP-P003_L,ESCP-P003_H,FOXX-P001_L,FOXX-P001_H,FOXX-P002_L,FOXX-P002_H,FOXX-P003_L,FOXX-P003_H,FELD-P001_L,FELD-P001_H,FELD-P002_L,FELD-P002_H,FELD-P003_L,FELD-P003_H,DUFF-P001_L,DUFF-P001_H,DUFF-P002_L,DUFF-P002_H,DUFF-P003_L,DUFF-P003_H,106133_L,106133_H,102598_L,102598_H,102760_L,102760_H,106126_L,106126_H,100250_L,100250_H,100442_L,100442_H,103197_L,103197_H,102795_L,102795_H,100292_L,100292_H,102126_L,102126_H,100662_L,100662_H,102199_L,102199_H,ASCS-P001_L,ASCS-P001_H,DJNG-P001_L,DJNG-P001_H,VCTD-P001_L,VCTD-P001_H,MUZP-P001_L,MUZP-P001_H,ESCP-P001_L,ESCP-P001_H,FOXX-P001_L,FOXX-P001_H,FELD-P001_L,FELD-P001_H,DUFF-P001_L,DUFF-P001_H,ASCS-P002_L,ASCS-P002_H,DJNG-P002_L,DJNG-P002_H,VCTD-P002_L,VCTD-P002_H,MUZP-P002_L,MUZP-P002_H,ESCP-P002_L,ESCP-P002_H,FOXX-P002_L,FOXX-P002_H,FELD-P002_L,FELD-P002_H,DUFF-P002_L,DUFF-P002_H,ASCS-P003_L,ASCS-P003_H,DJNG-P003_L,DJNG-P003_H,VCTD-P003_L,VCTD-P003_H,MUZP-P003_L,MUZP-P003_H,ESCP-P003_L,ESCP-P003_H,FOXX-P003_L,FOXX-P003_H,FELD-P003_L,FELD-P003_H,DUFF-P003_L,DUFF-P003_H
copies_loaded,6000,6000,4092,4092,3504,3504,9960,9960,5772,5772,5760,5760,2700,2700,33432,33432,4452,4452,6372,6372,6372,6372,3264,3264,1968,1968,13032,13032,6528,6528,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,360,360,912,912,2976,2976,2760,2760,2880,2880,3252,3252,2964,2964,1944,1944,2892,2892,2892,2892,2916,2916,2904,2904,2784,2784,3000,3000,2976,2976,1080,1080,2616,2616,2184,2184,3000,3000,3000,3000,2160,2160,2832,2832,2304,2304,3000,3000,3000,3000,2016,2016,1704,1704,720,720,1224,1224,1248,1248,1656,1656,2256,2256,1056,1056,1656,1656,1080,1080,3000,3000,2496,2496,1764,1764,1740,1740,3000,3000,1464,1464,2136,2136,912,912,3000,3000,564,564,912,912,3000,3000,3000,3000,1680,1680,1416,1416,1020,1020,1044,1044,1380,1380,1872,1872,864,864,1380,1380,888,888,3000,3000,2088,2088,3000,3000,3000,3000,2904,2904,3000,3000,1560,1560,3000,3000,3000,3000,2580,2580,3000,3000,1932,1932,3000,3000,1020,1020,1920,1920,3000,3000,2616,2616,3000,3000,3000,3000,3000,3000,2496,2496,3000,3000,4356,4356,1836,1836,3000,3000,2364,2364,3000,3000,1500,1500,3132,3132,4356,4356,3000,3000,3192,3192,3900,3900,3000,3000,3000,3000,3000,3000,3000,3000,3192,3192,3900,3900,3000,3000,3000,3000,3000,3000,1464,1464,3000,3000,3000,3000,2904,2904,3000,3000,3000,3000,3000,3000,972,972,3000,3000,2520,2520,2112,2112,3000,3000,3000,3000,3000,3000,3096,3096,3096,3096,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,2712,2712,2712,2712,3396,3396,3396,3396,3396,3396,3420,3420,3420,3420,3420,3420,4992,4992,4992,4992,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3324,3444,3444,3444,3444,1116,1116,1116,1116,1116,1116,2004,2004,2004,2004,1560,1560,1560,1560,1524,1524,1524,1524,2568,2568,2568,2568,2640,2640,2544,2544,26,26,53,53,180,180,252,252,264,264,144,144,31,31,72,72,24,24,480,480,120,120,276,276,2568,2568,2628,2628,2496,2496,2460,2460,1776,1776,1044,1044,2544,2544,2496,2496,2496,2496,1536,1536,2448,2448,936,936,2508,2508,1560,1560,120,120,48,48,132,132,84,84,48,48,1152,1152,72,72,24,24,60,60,48,48,84,84,24,24,2317,2317,1309,1309,1397,1397,579,579,301,301,458,458,474,474,392,392,1851,1851,635,635,747,747,614,614,262,262,1819,1819,308,308,996,996,134,134,,,300,300,,,408,408,2446,2446,413,413,799,799,,,,,560,560,141,141,350,350,177,177,,,606,606,645,645,3568,3568,763,763,,
1,81.4,,80.6,,,,79.8,,79.8,,79.8,,,82.4,79.4,,,83.2,80.4,,79.6,,80.2,,79.8,,80.2,81.2,80.4,,80.2,,,,80.8,,80.8,,,,80.6,,80.6,,80.6,,80.4,,80,,79.8,,80,81.6,80.2,,80.8,,81.4,,80.2,,80.4,,80.2,,80,,80.2,,80.4,,81,83.6,80,,79.4,83,,82.4,79.8,,80.4,83.4,81.2,,79.6,,79.4,,79.4,81.6,80.2,,79.8,83.6,79.6,,80,,,,79.4,83.4,79.6,83.4,79.4,81.4,80.2,83.6,79.2,83.2,79.4,83.2,80.6,,79.8,82.8,,,79.8,,79.8,,80,,80.6,,79.2,,81.2,,79.6,,79.6,82.8,80.4,,79.6,83.2,79.8,83.6,79.8,,79.8,,79.8,83.2,79.8,83,79.8,,80.2,82.8,81.6,,81.6,83.6,80.2,,79.6,82.4,79.6,,80,,80.2,82.6,80.2,,80.2,,79.8,,79.6,81.6,80,,80.2,,80,82.2,80.2,,80,,80,,80,,80.2,,80.2,,80,,80,82.8,80.8,,79.6,,81,,80.4,,80.2,,79.8,,80.2,,80.2,,80,82.2,79.6,,80.2,,80,,80.4,,80.4,,80,,80.4,,80,,80.2,,80.4,83,80.2,,79.8,,80.2,,80,83,81,,80,82.6,80.6,,79.4,81.4,80,,80,,80,,80,,80,,81.4,,79.8,83.4,80,,79.8,,80,82.2,80.2,,80.2,,80.2,,80.4,,80.2,,80.2,,80.2,,80.2,,80.2,,80.2,82.4,80.2,,80.4,,80.2,,80.2,,80.2,,80.4,,80.2,,80,,80,,80,,80,,80.2,,80.2,,80,,80,,79.8,,80.6,,80.2,,80,,80.2,,80,,80,,79.8,82.8,80,,80.2,81.6,80,,80,,79.6,,79.6,,80.4,82.8,80.2,83,81,,80,82.8,80,82.2,81.2,,,,80,83,79.6,,80.6,,,,80,81.6,80.6,,79.8,,80,,80.2,,80.8,,80.4,,79.8,,80.4,,80,81.8,79.6,,80.4,,80.4,,79.8,,80,,80,81.8,,,81.2,,79.8,83,,,79.6,82,79.8,82.4,79.8,82.4,81.6,,,,,,80,,79.8,,80,,79.8,,79.6,,79.6,,79.8,,79.8,,79.8,81.8,79.8,,80,81,80,80.8,79.8,,79.8,83.4,79.8,82.4,79.8,83.2,80,81.2,79.8,,,,80,,,,80,83.4,79.8,81.4,80,,80,83.4,,,,,80,81.4,79.8,,79.8,83.2,79.8,,,,80,83,79.8,,79.8,,80,,,
2,80.6,,80,83.2,,,79.4,,79.8,,79.6,,,,79.2,81.2,79.4,82.8,79.4,81.2,80.4,,79.8,,,,79.2,,81.6,,80,81.4,,83.8,80.6,,81.2,,81,,80.4,,80.4,,81,,80,,80.8,,80.2,,81,,79.8,,80.2,,79.8,82,79.8,81.8,80.2,,80.4,,80.6,,80,,80.2,,,82.6,80,,80,,,82.2,79.2,,79.6,83.4,80,,79.4,,80,,79.4,80.8,80,,79.8,83.6,,82.4,81,,,,81.2,83.4,79.4,83,79.2,82.6,80.4,82.8,79.6,,79.4,,79.8,,79.6,83.2,79.2,,79.8,,79.4,,79.8,,79.6,,79.4,,80,,79.4,,79.8,,79.8,,80,83,79.8,83.4,79.8,,79.8,,79.6,83.4,79.6,83,80.2,,79.4,83.4,80.6,,79.8,,79.8,,79.4,82.4,79.4,,80,,80,,79.8,,80.6,,79.8,,80.8,,79.8,81.6,80.2,,80,,80.2,,80.2,,79.8,,80,,81.2,,79.8,81.2,80,,80,,80.4,,79.6,,80.2,,80,82.4,80.2,,80,,80,,80.2,,80.4,,79.8,,80.2,,79.8,,80.2,,80.2,,79.8,,80.2,,80,,80,,80.2,83.4,80.2,,80,,80.2,,80,,80.6,,80.2,,80.8,,79.8,,80.2,,80,,80.8,,80,,80,,80.4,,79.6,81.2,79.8,,79.8,81.8,80,,80.2,82,80,,80.4,,80.2,,80.2,,80.2,,80.2,,80.2,,80,82.8,80.2,82.2,80.2,83.6,80.2,,80.2,,80.2,,80.2,,80.2,,80.2,,80,,80,,80,,80,,80.2,,80.2,,80.2,,80,,80,82.8,80,,80,,80.2,,80,,80,,80,,80,,80,82,80.2,,79.8,82.2,79.8,,79.6,,79.4,82.8,81.4,83,80.2,83,,,81.2,,79.8,82.4,80,81.4,,,81.2,83,81,83.2,79.8,83,81,,80.8,83,81,,80.4,,80.2,,80.6,,79.6,,79.8,,80.4,82.8,80.2,,80,,82.8,,80.6,,79.8,82.4,79.8,,79.8,,80.4,82.4,79.8,,,,,,81.8,,80.2,,80.4,81.8,79.4,82,80.2,83,79.8,,,,79.4,,79.8,,80,,79.8,,79.6,,79.6,,79.8,,79.8,,79.8,,79.8,,80,82.2,80,,79.8,,79.8,,79.8,82.4,79.8,83.6,80,83.2,79.8,,,,80,,,,80,,79.8,83.2,80,,80,,,,,,80,,79.8,,79.8,83.6,79.8,,,,80,83.2,79.8,,79.8,,80,,,
3,80,,80.2,,79.6,,79.6,,80,,80,,81.6,,79.4,,79.4,83,79.6,,79.4,,79.6,,80,,80.6,,81.4,,,,,,81,,,,81.4,,80.6,,80.4,,81,,80.4,,80,,79.6,,81.6,,79.8,,80.2,82.4,80.2,81.8,80,,80.6,,80.2,,80,,80.2,,80.4,,80,83.2,80.2,,79.4,,79.2,83,79.6,,81,83.4,79.8,81.6,,,,82.8,79.4,,79.6,,80,83.4,79.4,81.2,80,83.4,79.6,,79.6,83.2,,83.2,80,83,79.2,83,79.4,,80,82.8,81.4,,81.8,83.2,79.6,,79.8,82.2,79.6,,80,82.8,79.6,,79.4,,80,,79.4,,80,,79.6,83.6,79.6,83.4,79.8,83.6,79.8,,80.6,,79.4,83.4,79.8,,79.6,83.4,79.8,,80,,79.6,83.2,81.8,,79.4,82,79.4,,80,,80,,79.8,,80.4,,79.4,,79.4,81.4,80,,80,,80,82.2,80,82.2,80.2,,80,,81.2,,79.8,,80.4,,80,,79.8,,80.6,,80.6,,80,,80.2,82.4,80.4,,80,,80,,80.4,,80,,79.6,,80.2,,79.8,,80.2,,80.2,,79.8,,80.2,,79.8,,80,83,80.2,,80.2,,79.8,,80,,79.8,83.4,79.8,,80.2,,80.2,,79.4,82.4,80,81.2,80.2,,80.4,,80.6,,80,,79.6,,79.8,,79.8,82.2,79.8,,79.8,81.8,80.2,,80.2,,80.2,,80.2,83.2,80.2,83,80.2,,80.2,82.6,80.2,,80.2,,80,,80.2,,80.2,82.6,80.2,,80.2,,80.2,,80.2,,80,83,80,,80,,80,,80,,80.2,,80.2,,80.2,,80,,79.8,82.2,,,80.2,,80,,80,,80,,79.8,,79.8,,80,82,80.2,,80,,79.8,,79.6,,79.4,82.4,81.4,,80.2,83,79.8,,81.4,83.4,80,83,80.6,,82.4,,79.8,82.6,80.2,83,80.2,81.2,80.6,,79.8,82.4,80.4,,79.8,,81.2,,80.2,,79.8,,80.2,,79.8,,80.2,,80,,80.2,,80.4,,,,80,,79.6,,80,81.4,80.2,,,,80,,,,80.6,,80,81.6,81.2,,79.6,82,,,,,80,82.6,79.8,,80,,79.8,,79.8,,79.6,,79.8,,79.8,,79.8,,79.8,,80,,80,,79.8,,79.8,,79.8,83,79.8,83.6,80,,79.8,,,,80,,,,80,,79.8,,80,,80,,,,,,80,,79.8,,79.8,83.8,79.8,,,,80,,79.8,,79.8,,80,,,
